filename,experiment_id,arm,dataset,backbone,optimizer_seed,pair_seed,config_path,acc_certain,acc_hybrid,bytes,sha256,in_github_release,release_asset,role
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B1_sync_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync,B1_sync,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B1_sync.json,72.5085910652921,71.00185038329369,18781152,d8997beaf5882cee26779e65013e66a545ec157a317b2b5678b9b1abb5d4d2b2,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B4_syncnorm_seed1337.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm,B4_syncnorm,ucf101,r50_full,1337,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm.json,75.78641289981496,74.51757864128999,18781911,7059ccb79b502bbfe7d315834bd94b657823fad829bd97ac228bb674c1616115,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B4_syncnorm_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm,B4_syncnorm,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm.json,75.25773195876289,73.2223103357124,18781877,923fcc50f7ae8ac6f9bece88ee66650c9a1cd833a16b3a9dfaefb5e84d853dc2,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc1024_B4_syncnorm_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm,B4_syncnorm,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc1024__B4_syncnorm.json,75.12556172349987,73.9360296061327,18781860,ce0bcf3f79bc036128bd45c753ebf50339d54c3f671aa3d9028e5b1161dc2b54,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B0_linear_seed1337.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear,B0_linear,ucf101,r50_full,1337,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear.json,74.12106793550093,66.2172878667724,9891177,eef5592865d4e356d8f0eca22c219c71f279d734b236ea555ef027e99f5a2c63,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B0_linear_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear,B0_linear,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear.json,74.17393602960614,65.26566217287866,9890701,460398d9a08d55b36512885db97d2bbf21800763ce2e3e9ae519fa2061bc77ac,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B0_linear_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear,B0_linear,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B0_linear.json,72.27068464181866,66.2965900079302,9890687,53432dc1cd4b875a88c4e4aace8ee987e26e1b499742d28eb7cb956886093506,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B1_sync_seed1337.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync,B1_sync,ucf101,r50_full,1337,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync.json,72.82579962992334,71.26619085381972,9829442,d5f2e52339fe72db9cead3e670ef4bcf67be357feef92060c495a7115467034b,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B1_sync_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync,B1_sync,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync.json,72.5878932064499,70.52603753634682,9829344,4ff45ad8844a79e44f074439725ee95a9c6cf841e2cc6e960d24cf75d5c017d7,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B1_sync_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync,B1_sync,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B1_sync.json,73.2223103357124,71.00185038329369,9829327,00d9c5eb6465e1aa7f64617970dced7dde7d41ed98b953f553fa566b630c0750,True,synccaps-checkpoints-resnet18.tar,supporting
