experiment_id,result_batch_id,config_path,dataset,backbone,arm,family,split,optimizer_seed,pair_seed,n_synch,n_self,exclude_self,lr,single_view_acc_certain,single_view_acc_final,single_view_acc_hybrid,mean_exit_tick,best_val,epoch_selection,checkpoint,checkpoint_present,status,exit_code,three_clip_acc_certain,three_clip_acc_final,three_clip_acc_hybrid,three_clip_mean_exit_tick,multiclip_n_views,single_view_drift
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,101,0,2048,64,False,0.001,82.65926513349193,83.18794607454402,81.46973301612476,5.987840338355802,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_CB_tsketch_seed101.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_B4_gram-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,2026,0,2048,64,False,0.001,82.07771609833465,82.52709489822891,81.39043087496695,5.891091726143273,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_CB_tsketch_seed2026.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__R3_route,ucf101_clip_b32_ptfz_official1_noval_fc__R3_route#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_R3_route.json,configs/routing/ucf101_clip_b32_ptfz_official1_noval_fc__R3_route.json,ucf101,clip_b32,R3_route,routing,_official1_noval,42,0,2048,64,False,0.001,84.82685699180544,84.87972508591065,83.7959291567539,13.945545863071636,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_R3_route_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__R3_route,ucf101_clip_b32_ptfz_official1_noval_fc__R3_route#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_R3_route.json,configs/routing/ucf101_clip_b32_ptfz_official1_noval_fc__R3_route.json,ucf101,clip_b32,R3_route,routing,_official1_noval,1337,0,2048,64,False,0.001,84.32461009780597,84.32461009780597,83.47872059212266,13.96061326989162,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_R3_route_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc__R3_route,ucf101_clip_b32_ptfz_official1_noval_fc__R3_route#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_R3_route.json,configs/routing/ucf101_clip_b32_ptfz_official1_noval_fc__R3_route.json,ucf101,clip_b32,R3_route,routing,_official1_noval,7,0,2048,64,False,0.001,84.4832143801216,84.5096484271742,83.69019296854349,13.974358974358974,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_R3_route_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm,ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,_official1_noval,42,0,2048,64,False,0.0005,83.58445678033307,83.32011630980703,82.92360560401798,6.420037007665874,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm,ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,_official1_noval,1337,0,2048,64,False,0.0005,83.13507798043881,82.57996299233412,82.23632038065027,6.4890298704731695,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm,ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__B4_syncnorm.json,ucf101,clip_b32,B4_syncnorm,clip,_official1_noval,7,0,2048,64,False,0.0005,82.71213322759714,82.52709489822891,81.99841395717684,6.374570446735395,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm_seed7.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,42,0,2048,64,False,0.0005,83.32011630980703,83.87523129791171,82.63283108643932,6.024319323288395,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_CB_tsketch_seed42.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,1337,0,2048,64,False,0.0005,83.34655035685964,83.7959291567539,82.15701823949246,5.9891620407084325,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_CB_tsketch_seed1337.pt,True,completed,0,,,,,,
ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch,ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch#synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_B4_syncnorm-CB_tsketch.json,configs/clip/ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005__CB_tsketch.json,ucf101,clip_b32,CB_tsketch,clip,_official1_noval,7,0,2048,64,False,0.0005,83.39941845096484,83.8487972508591,82.28918847475548,5.95664816283373,0.0,final epoch (no validation set),synccaps_ucf101_clip_b32_ptfz_official1_noval_fc_lr0.0005_CB_tsketch_seed7.pt,True,completed,0,,,,,,
